component,max,mean,median,min,n,p95
bm25,0.412456323998,0.0872047705504,0.0773467484996,0.00392909599941,1092,0.206351396201
dense,0.036880448999,0.0145012996108,0.0143807615004,0.0131716800006,1092,0.0155343537502
fusion,9.43329996517e-05,5.88579322382e-05,5.75025005674e-05,4.7129999075e-05,1092,7.1584050329e-05
total,0.428937380999,0.101764928093,0.0917474334983,0.0179729920019,1092,0.221223750452
