system,legacy_NDCG4,corrected_common_pool_NDCG4
comparator,0.850300371059,0.768768359571
evidence_seed_20260904,0.863932635142,0.807202052657
evidence_seed_20260905,0.860581480675,0.800252285826
evidence_seed_20260906,0.864156518099,0.803948240781
