instance,pairs,batch_size,base_load_seconds,adapter_load_seconds,score_seconds,first_batch_seconds,steady_pairs_per_second,peak_allocated_GiB,peak_reserved_GiB
U,21840,32,1.049791458,0,132.980286973,0.191443443,164.230664416,1.55739974976,2.453125
B_20260904,21840,32,1.02177722,0.438165431,238.234238762,0.328730440999,91.6666459466,1.92312240601,2.974609375
B_20260905,21840,32,1.029310876,0.466611935999,238.268719718,0.321707748999,91.6506570919,1.92312240601,2.974609375
B_20260906,21840,32,1.069212734,0.441109087998,238.252612367,0.322096987999,91.657011566,1.92312240601,2.974609375
E_20260904,21840,32,1.028852349,0.438623563001,238.254563085,0.325064200999,91.657403148,1.92312240601,2.974609375
E_20260905,21840,32,1.036635909,0.454753693,238.278514967,0.320606704001,91.6464603307,1.92312240601,2.974609375
E_20260906,21840,32,1.027895993,0.463317940999,238.28696902,0.322805514999,91.6440512672,1.92312240601,2.974609375
